Time,SR
2024/12/6 20:00,NaN
2024/12/6 20:10,NaN
2024/12/6 20:20,NaN
2024/12/6 20:30,NaN
2024/12/6 20:40,NaN
2024/12/6 20:50,NaN
2024/12/6 21:00,NaN
2024/12/6 21:10,NaN
2024/12/6 21:20,NaN
2024/12/6 21:30,NaN
2024/12/6 21:40,NaN
2024/12/6 21:50,NaN
2024/12/6 22:00,NaN
2024/12/6 22:10,NaN
2024/12/6 22:20,NaN
2024/12/6 22:30,NaN
2024/12/6 22:40,NaN
2024/12/6 22:50,NaN
2024/12/6 23:00,NaN
2024/12/6 23:10,NaN
2024/12/6 23:20,NaN
2024/12/6 23:30,NaN
2024/12/6 23:40,NaN
2024/12/6 23:50,NaN
2024/12/7 0:00,NaN
2024/12/7 0:10,NaN
2024/12/7 0:20,NaN
2024/12/7 0:30,0.018991201
2024/12/7 0:40,3.014895129
2024/12/7 0:50,0.182727522
2024/12/7 1:00,0.003709548
2024/12/7 1:10,0.00598958
2024/12/7 1:20,0.154005748
2024/12/7 1:30,0.302539091
2024/12/7 1:40,2.079145735
2024/12/7 1:50,6.359915022
2024/12/7 2:00,4.582629396
2024/12/7 2:10,1.63268195
2024/12/7 2:20,0.595884212
2024/12/7 2:30,0.016189755
2024/12/7 2:40,0.054223034
2024/12/7 2:50,0.124160707
2024/12/7 3:00,0.04389415
2024/12/7 3:10,0.029952802
2024/12/7 3:20,NaN
2024/12/7 3:30,NaN
2024/12/7 3:40,NaN
2024/12/7 3:50,NaN
2024/12/7 4:00,NaN
2024/12/7 4:10,NaN
2024/12/7 4:20,NaN
2024/12/7 4:30,NaN
2024/12/7 4:40,NaN
2024/12/7 4:50,NaN
2024/12/7 5:00,NaN
2024/12/7 5:10,NaN
2024/12/7 5:20,NaN
2024/12/7 5:30,NaN
2024/12/7 5:40,NaN
2024/12/7 5:50,NaN
2024/12/7 6:00,NaN
2024/12/7 6:10,NaN
2024/12/7 6:20,NaN
2024/12/7 6:30,NaN
2024/12/7 6:40,NaN
2024/12/7 6:50,NaN
2024/12/7 7:00,NaN
2024/12/7 7:10,NaN
2024/12/7 7:20,NaN
2024/12/7 7:30,NaN
2024/12/7 7:40,NaN
2024/12/7 7:50,NaN
2024/12/7 8:00,NaN
2024/12/7 8:10,NaN
2024/12/7 8:20,NaN
2024/12/7 8:30,NaN
2024/12/7 8:40,NaN
2024/12/7 8:50,NaN
2024/12/7 9:00,NaN
2024/12/7 9:10,NaN
2024/12/7 9:20,NaN
2024/12/7 9:30,NaN
2024/12/7 9:40,NaN
2024/12/7 9:50,NaN
2024/12/7 10:00,0.02736479
2024/12/7 10:10,0.453616292
2024/12/7 10:20,0.151197622
2024/12/7 10:30,0.016360788
2024/12/7 10:40,0.115111714
2024/12/7 10:50,0.673168277
2024/12/7 11:00,0.160754772
2024/12/7 11:10,0.017192467
2024/12/7 11:20,0.004567689
2024/12/7 11:30,0.007084765
2024/12/7 11:40,0.003806011
2024/12/7 11:50,NaN
2024/12/7 12:00,NaN
2024/12/7 12:10,NaN
2024/12/7 12:20,NaN
2024/12/7 12:30,NaN
2024/12/7 12:40,0.002172485
2024/12/7 12:50,0.19367825
2024/12/7 13:00,0.207222535
2024/12/7 13:10,0.501403156
2024/12/7 13:20,0.464891148
2024/12/7 13:30,0.837545953
2024/12/7 13:40,3.968348994
2024/12/7 13:50,5.286150911
2024/12/7 14:00,4.373439646
2024/12/7 14:10,2.921622624
2024/12/7 14:20,1.51234745
2024/12/7 14:30,1.763279583
2024/12/7 14:40,1.180551903
2024/12/7 14:50,1.351873434
2024/12/7 15:00,0.79376002
2024/12/7 15:10,0.085980946
2024/12/7 15:20,0.097467629
2024/12/7 15:30,0.599126501
2024/12/7 15:40,0.014205134
2024/12/7 15:50,0.15347387
2024/12/7 16:00,NaN
2024/12/7 16:10,NaN
2024/12/7 16:20,NaN
2024/12/7 16:30,NaN
2024/12/7 16:40,NaN
2024/12/7 16:50,NaN
2024/12/7 17:00,NaN
2024/12/7 17:10,NaN
2024/12/7 17:20,NaN
2024/12/7 17:30,NaN
2024/12/7 17:40,NaN
2024/12/7 17:50,NaN
